Column1,Column2,Column3
465,322,108
444,323,157
482,371,126
446,442,89
304,418,38
355,379,48
369,303,59
413,431,112
479,401,44
455,357,55
388,358,156
331,463,29
393,354,51
467,454,76
345,411,141
405,335,13
363,458,41
473,368,78
386,312,151
426,453,174
448,364,68
485,307,54
414,456,62
350,374,76
403,483,84
469,375,146
302,429,151
421,471,126
353,478,182
436,423,72
336,491,73
344,352,78
461,318,64
365,373,166
398,480,18
339,487,129
387,321,105
381,326,87
422,338,70
311,416,66
447,445,113
392,430,55
492,474,189
390,432,41
299,450,135
399,459,145
370,477,51
460,351,47
481,427,173
440,359,78
382,435,156
356,490,129
434,493,77
396,402,96
425,376,80
464,328,150
341,419,195
349,383,159
306,417,11
305,301,142
415,389,25
494,408,176
424,378,63
361,319,73
484,472,199
437,329,199
372,324,128
441,334,63
409,428,164
391,380,52
449,488,146
343,313,181
384,342,88
315,366,199
395,466,69
325,347,138
340,475,83
330,462,13
439,360,90
377,443,32
406,412,193
476,438,47
486,348,44
337,314,179
316,404,185
333,433,58
310,317,74
367,300,109
394,420,36
332,451,171
457,385,64
320,309,124
489,452,11
346,407,153
468,410,15
327,470,144
362,400,47
308,397,36
